"#","Name   ","Description","Type   ","Kind","Power","Accuracy","PP   ","Pri","Effect Chance","Target"
0,1,2,3,4,5,6,7,8,9,10
372,"Assurance","Base power doubles if, since the beginning of the current turn, the target has taken residual damage from any factors such as recoil, Spikes, Stealth Rock or the effects of holding Life Orb.","Dark","Physical",50,1,10,0,0.00%,0
310,"Astonish","Has a 30% chance to make the target flinch.","Ghost","Physical",30,1,15,0,30.00%,0
454,"Attack Order","Has a high critical hit ratio.","Bug","Physical",90,1,15,0,0.00%,0
213,"Attract","Infatuates Pokemon of the opposite gender, even if they have a Substitute, causing a 50% chance for the target's attack to fail.","Normal","Status",0,1,15,0,0.00%,0
396,"Aura Sphere","Ignores Evasion and Accuracy modifiers and never misses except against Protect, Detect or a target in the middle of Dig, Fly, Dive or Bounce.","Fighting","Special",90,1.01,20,0,0.00%,0
62,"Aurora Beam","Has a 10% chance to lower the target's Attack by 1 stage.","Ice","Special",65,1,20,0,10.00%,0
475,"Autotomize","Raises the user's Speed by two stages.","Steel","Status","–","– ",15,3,0.00%,0
419,"Avalanche","Base power is 60. Almost always goes last, even after another Pokemon's Focus Punch; this move's base power doubles if the user is damaged before its turn.","Ice","Physical","Var",1,10,-4,0.00%,0
140,"Barrage","Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link, this move will always strike five times.","Normal","Physical",15,0.85,20,0,0.00%,0
112,"Barrier","Raises the user's Defense by 2 stages.","Psychic","Status",0,"— ",30,0,0.00%,0
226,"Baton Pass","The user returns to its party, bypassing any trapping moves and Pursuit; it passes all stat modifiers (positive or negative, including from Charge and Stockpile), as well as confusion, Focus Energy/Lansat Berry boosts, Ingrain, Aqua Ring, Embargo, Gastro Acid, Power Trick, Magnet Rise, Stockpiles, Perish Song count, Mist, Leech Seed, Ghost Curses, Mind Reader, Lock-On, Block, Mean Look, Spider Web and Substitute to the replacement Pokemon.","Normal","Status",0,"— ",40,0,0.00%,0
251,"Beat Up","Each healthy (i.e. not fainted nor inflicted with a status condition) Pokemon in your party contributes a typeless 10 base power hit determined solely by their base Attack and Defense stats.","Dark","Physical","Var",1,10,0,0.00%,0
187,"Belly Drum","The user maximizes its Attack but sacrifices 50% of its max HP.","Normal","Status",0,"— ",10,0,0.00%,0
516,"Bestow","Gives the user's held item to the target.","Normal","Status","–","– ",15,0,0.00%,0
117,"Bide","Usually goes first for the duration of the move. The user absorbs all damage for two turns and then, during the third turn, the user inflicts twice the absorbed damage on its target. This move ignores the target's type and even hits Ghost-type Pokemon.","Normal","Physical","Var",1,10,1,0.00%,0
20,"Bind","Traps the target for 5-6 turns, causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.","Normal","Physical",15,0.85,20,0,0.00%,0
44,"Bite","Has a 30% chance to make the target flinch.","Dark","Physical",60,1,25,0,30.00%,0
307,"Blast Burn","The user recharges during its next turn; as a result, until the end of the next turn, the user becomes uncontrollable.","Fire","Special",150,0.9,5,0,0.00%,0
299,"Blaze Kick","Has a high critical hit ratio and a 10% chance to burn the target.","Fire","Physical",85,0.9,10,0,10.00%,0
59,"Blizzard","Has a 10% chance to freeze the target. During Hail, this move will never miss under normal circumstances and has a 30% chance to hit through a target's Protect or Detect.","Ice","Special",120,0.7,5,0,10.00%,3
335,"Block","As long as the user remains in battle, the target cannot switch out unless it is holding Shed Shell or uses Baton Pass or U-Turn. The target will still be trapped if the user switches out by using Baton Pass.","Normal","Status",0,1,5,0,0.00%,0
551,"Blue Flare","Has a 20% chance to burn the target.","Fire","Special",130,0.85,5,0,20.00%,0
34,"Body Slam","Has a 30% chance to paralyze the target.","Normal","Physical",85,1,15,0,30.00%,0
550,"Bolt Strike","Has a 20% chance to paralyze the target.","Electric","Physical",130,0.85,5,0,20.00%,0
125,"Bone Club","Has a 10% chance to make the target flinch.","Ground","Physical",65,0.85,20,0,10.00%,0
198,"Bone Rush","Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link, this move will always strike five times.","Ground","Physical",25,0.8,10,0,0.00%,0
155,"Bonemerang","Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit.","Ground","Physical",50,0.9,10,0,0.00%,0
340,"Bounce","On the first turn, the user bounces into the air, becoming uncontrollable, and evades most attacks. Gust, Twister, Thunder and Sky Uppercut have normal accuracy against a mid-air Pokemon, with Gust and Twister also gaining doubled power. The user may also be hit in mid-air if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn, the user descends and has a 30% chance to paralyze the target.","Flying","Physical",85,0.85,5,0,30.00%,0
413,"Brave Bird","The user receives 1/3 recoil damage.","Flying","Physical",120,1,15,0,0.00%,0
280,"Brick Break","Reflect and Light Screen are removed from the target's field even if the attack misses or the target is a Ghost-type.","Fighting","Physical",75,1,15,0,0.00%,0
362,"Brine","Base power is 65, doubles if the target is at least 50% below full health.","Water","Special","Var",1,10,0,0.00%,0
145,"Bubble","Has a 10% chance to lower the target's Speed by 1 stage.","Water","Special",20,1,30,0,10.00%,3
61,"BubbleBeam","Has a 10% chance to lower the target's Speed by 1 stage.","Water","Special",65,1,20,0,10.00%,0
450,"Bug Bite","The user eats the target's held berry and, if applicable, receives its benefits. Jaboca Berry will be removed without damaging the user, but Tanga Berry will still activate and reduce this move's power. The target can still recover its held berry by using Recycle.","Bug","Physical",60,1,20,0,0.00%,0
405,"Bug Buzz","Has a 10% chance to lower the target's Special Defense by 1 stage.","Bug","Special",90,1,10,0,10.00%,0
339,"Bulk Up","Raises the user's Attack and Defense by 1 stage each.","Fighting","Status",0,"— ",20,0,0.00%,0
523,"Bulldoze","Has a 100% chance to lower the target's Speed by one level.","Ground","Physical",60,1,20,0,100.00%,0
418,"Bullet Punch","Usually goes first.","Steel","Physical",40,1,30,1,0.00%,0
331,"Bullet Seed","Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link, this move will always strike five times.","Grass","Physical",25,1,30,0,0.00%,0
347,"Calm Mind","Raises the user's Special Attack and Special Defense by 1 stage each.","Psychic","Status",0,"— ",20,0,0.00%,0
293,"Camouflage","The user's type changes according to the current terrain. It becomes Grass-type in tall grass and very tall grass (as well as in puddles), Water-type while surfing on any body of water, Rock-type while inside any caves or on any rocky terrain, Ground-type on beach sand, desert sand and dirt roads, Ice-type in snow, and Normal-type everywhere else. The user will always become Normal-type during Wi-Fi battles. ","Normal","Status",0,1,20,0,0.00%,0
445,"Captivate","Lowers the target's Special Attack by 2 stages if the target is the opposite gender of the user. Fails if either Pokemon is genderless.","Normal","Status",0,1,20,0,0.00%,0
268,"Charge","Doubles the power of the user's Electric attacks on the next turn and increases the user's Special Defense by 1 stage.","Electric","Status",0,1,20,0,0.00%,0
451,"Charge Beam","Has a 70% chance to raise the user's Special Attack by 1 stage.","Electric","Special",50,0.9,10,0,70.00%,0
204,"Charm","Lowers the target's Attack by 2 stages.","Normal","Status",0,1,20,0,0.00%,0
448,"Chatter","Has a 1%, 11% or 31% chance to confuse the target if its user is Chatot. The confusion rate increases directly with the volume of a sound recorded using the DS's microphone; Chatot's default cry has a 1% chance to confuse its target and is replaced by the player's recordings. This move cannot be randomly generated by moves such as Metronome and it cannot be copied with Sketch. If another Pokemon uses Transform to turn into Chatot, its Chatter cannot cause confusion.","Flying","Special",60,1,20,0,0.00%,0
498,"Chip Away",,"Normal","Physical",70,1,20,0,0.00%,0
509,"Circle Throw","Overhead Throw inflicts damage. Additionally, it will automatically end wild Pokémon battles or, in a trainer battle, it will switch out the opposing Pokémon to the next Pokémon in line that has not fainted. It also has decreased priority. Overhead Throw will fail to end wild Pokémon battles or switch out the opposing trainer Pokémon if it has the ability Suction Cups, is under the effects of Ingrain, or has Substitute set up. In a trainer battle it will also fail to switch out the opposing Pokémon if there isn't another to take its place.","Fighting","Physical",60,0.9,10,-6,0.00%,0
128,"Clamp","Traps the target for 5-6 turns, causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.","Water","Physical",35,0.85,10,0,0.00%,0
499,"Clear Smog","Removes all of the target's stat changes.","Poison","Special",50,1.01,15,0,0.00%,0
370,"Close Combat","Lowers the user's Defense and Special Defense by 1 stage.","Fighting","Physical",120,1,5,0,0.00%,0
489,"Coil","Raises the user's Attack, Defense, and accuracy by one stage.","Poison","Status","–","– ",20,0,0.00%,0
4,"Comet Punch","Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link, this move will always strike five times.","Normal","Physical",18,0.85,15,0,0.00%,0
109,"Confuse Ray","Confuses the target.","Ghost","Status",0,1,10,0,0.00%,0
93,"Confusion","Has a 10% chance to confuse the target.","Psychic","Special",50,1,25,0,10.00%,0
132,"Constrict","Has a 10% chance to lower the target's Speed by 1 stage.","Normal","Physical",10,1,35,0,10.00%,0
160,"Conversion","The user's type changes to match the type of one of its four attacks. This move fails if the user cannot change its type under this condition.","Normal","Status",0,"— ",30,0,0.00%,0
176,"Conversion 2","The user's type changes to one that resists the type of the last attack that hit the user. In double battles, this situation holds even when the user is last hit by an attack from its partner.","Normal","Status",0,1,30,0,0.00%,0
383,"Copycat","The user performs the battle's last successful move. This move could be from the current opponent, a previous opponent, a teammate or even another move from the user's own moveset. This move fails if no Pokemon has used a move yet. Copycat cannot copy itself.","Normal","Status",0,"— ",20,0,0.00%,0
322,"Cosmic Power","Raises the user's Defense and Special Defense by 1 stage each.","Psychic","Status",0,"— ",20,0,0.00%,0
538,"Cotton Guard","Raises the user's Defense by three stages.","Grass","Status","–","– ",10,0,0.00%,0
178,"Cotton Spore","Lowers the target's Speed by 2 stages.","Grass","Status",0,1,40,0,0.00%,0
68,"Counter","Almost always goes last; if an opponent strikes with a Physical attack before the user's turn, the user retaliates for twice the damage it had endured. In double battles, this attack targets the last opponent to hit the user with a Physical attack and cannot hit the user's teammate.","Fighting","Physical","Var",1,20,-5,0.00%,2
343,"Covet","Steals the target's held item unless the user is already holding an item or the target has Sticky Hold or Multitype. Recycle cannot recover the stolen item.","Normal","Physical",60,1,40,0,0.00%,0
152,"Crabhammer","Has a high critical hit ratio.","Water","Physical",90,0.9,10,0,0.00%,0
238,"Cross Chop","Has a high critical hit ratio.","Fighting","Physical",100,0.8,5,0,0.00%,0
440,"Cross Poison","Has a high critical hit ratio and a 10% chance to poison the target.","Poison","Physical",70,1,20,0,10.00%,0
242,"Crunch","Has a 20% chance to lower the target's Defense by 1 stage.","Dark","Physical",80,1,15,0,20.00%,0
306,"Crush Claw","Has a 50% chance to lower the target's Defense by 1 stage.","Normal","Physical",75,0.95,10,0,50.00%,0
462,"Crush Grip","Base power decreases as the target's HP decreases.","Normal","Physical","Var",1,5,0,0.00%,0
174,"Curse","When used by a Ghost-type, the user sacrifices half of its max HP to sap the target by 1/4 of its max HP per turn. When used by anything else, the user's Speed is decreased by 1 stage and its Attack and Defense are increased by 1 stage.","Ghost","Status",0,"— ",10,0,0.00%,0
15,"Cut","Deals damage with no additional effect.","Normal","Physical",50,0.95,30,0,0.00%,0
399,"Dark Pulse","Has a 20% chance to make the target flinch.","Dark","Special",80,1,15,0,20.00%,0
464,"Dark Void","Puts the target to sleep. In double battles, this move will put both opponents to sleep.","Dark","Status",0,0.8,10,0,0.00%,3
455,"Defend Order","Raises the user's Defense and Special Defense by 1 stage each.","Bug","Status",0,"— ",10,0,0.00%,0
111,"Defense Curl","Raises the user's Defense by 1 stage; after one use of this move, the user's starting base power is doubled for every use of Rollout or Ice Ball.","Normal","Status",0,"— ",40,0,0.00%,0
432,"Defog","Lowers the target's Evasion by 1 stage and removes Reflect, Light Screen, Safeguard, Mist, Spikes, Stealth Rock and Toxic Spikes from the target's side of the field.","Flying","Status",0,"— ",15,0,0.00%,5
194,"Destiny Bond","Causes an opponent to faint if its next attack KOs the user.","Ghost","Status",0,"— ",5,0,0.00%,2
197,"Detect","Almost always goes first. The user is protected from all attacks for one turn, but the move's success rate halves with each consecutive use of Protect, Detect or Endure. If a Pokemon has No Guard, or used Lock-On or Mind Reader against the user during the previous turn, its attack has a [100 Varmove's normal accuracy]% chance to hit through Detect; OHKO moves do not benefit from this effect. Blizzard has a 30% to hit through this move during Hail, as does Thunder during Rain Dance.","Fighting","Status",0,"— ",5,3,0.00%,0
91,"Dig","On the first turn, the user digs underground, becoming uncontrollable, and evades all attacks. Earthquake and Magnitude can hit underground and gain doubled power. The user may also be hit underground if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn, the user attacks.","Ground","Physical",80,1,10,0,0.00%,0
50,"Disable","The target cannot choose its last move for 4-7 turns. Disable only works on one move at a time and fails if the target has not yet used a move or if its move has run out of PP. The target does nothing if it is about to use a move that becomes disabled.","Normal","Status",0,1,20,0,0.00%,0
435,"Discharge","Has a 30% chance to paralyze the target.","Electric","Special",80,1,15,0,30.00%,4
291,"Dive","On the first turn, the user dives underwater, becoming uncontrollable, and evades all attacks except for Surf and Whirlpool, which have doubled power; the user may also be hit underwater if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn, the user attacks.","Water","Physical",80,1,10,0,0.00%,0
146,"Dizzy Punch","Has a 20% chance to confuse the target.","Normal","Physical",70,1,10,0,20.00%,0
353,"Doom Desire","This move, even if the user and/or the target switch out, will strike the active target at the end of the second turn after its use.  Only one instance of Doom Desire or Future Sight may be active at a time.","Steel","Special",140,1,5,0,0.00%,0
458,"Double Hit","Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit.","Normal","Physical",35,0.9,10,0,0.00%,0
24,"Double Kick","Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit.","Fighting","Physical",30,1,30,0,0.00%,0
104,"Double Team","Raises the user's Evasion by 1 stage.","Normal","Status",0,"— ",15,0,0.00%,0
38,"Double-Edge","The user receives 1/3 recoil damage.","Normal","Physical",120,1,15,0,0.00%,0
3,"DoubleSlap","Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link, this move will always strike five times.","Normal","Physical",15,0.85,10,0,0.00%,0
434,"Draco Meteor","Lowers the user's Special Attack by 2 stages after use.","Dragon","Special",140,0.9,5,0,0.00%,0
337,"Dragon Claw","Deals damage with no additional effect.","Dragon","Physical",80,1,15,0,0.00%,0
349,"Dragon Dance","Raises the user's Attack and Speed by 1 stage each.","Dragon","Status",0,"— ",20,0,0.00%,0
406,"Dragon Pulse","Deals damage with no additional effect.","Dragon","Special",90,1,10,0,0.00%,0
82,"Dragon Rage","Always deals 40 points of damage.","Dragon","Special","40HP",1,10,0,0.00%,0
407,"Dragon Rush","Has a 20% chance to make the target flinch.","Dragon","Physical",100,0.75,10,0,20.00%,0
525,"Dragon Tail","Overhead Throw inflicts damage. Additionally, it will automatically end wild Pokémon battles or, in a trainer battle, it will switch out the opposing Pokémon to the next Pokémon in line that has not fainted. It also has decreased priority. Overhead Throw will fail to end wild Pokémon battles or switch out the opposing trainer Pokémon if it has the ability Suction Cups, is under the effects of Ingrain, or has Substitute set up. In a trainer battle it will also fail to switch out the opposing Pokémon if there isn't another to take its place.","Dragon","Physical",60,0.9,10,-6,0.00%,0
225,"DragonBreath","Has a 30% chance to paralyze the target.","Dragon","Special",60,1,20,0,30.00%,0
409,"Drain Punch","Restores the user's HP by 1/2 of the damage inflicted on the target.","Fighting","Physical",75,1,5,0,0.00%,0
138,"Dream Eater","Restores the user's HP by 1/2 of the damage inflicted on the target but only works on a sleeping target.","Psychic","Special",100,1,15,0,0.00%,0
65,"Drill Peck","Deals damage with no additional effect.","Flying","Physical",80,1,20,0,0.00%,0
529,"Drill Run","Has an increased chance for a critical hit.","Ground","Physical",80,0.95,10,0,0.00%,0
530,"Dual Chop","Hits twice in one turn.","Dragon","Physical",40,0.9,15,0,0.00%,0
223,"DynamicPunch","Confuses the target.","Fighting","Physical",100,0.5,5,0,100.00%,0
414,"Earth Power","Has a 10% chance to lower the target's Special Defense by 1 stage.","Ground","Special",90,1,10,0,10.00%,0
89,"Earthquake","Power doubles when performed against Pokemon using Dig.","Ground","Physical",100,1,10,0,0.00%,4
497,"Echoed Voice","Echo Voice deals damage, and the base power is increased when used consecutively. The base power increases by 40 with each use but reaches a maximum power at 200. In Double and Triple battles, the power increases if used consecutively by the user's teammates.","Normal","Special",40,1,15,0,0.00%,0
121,"Egg Bomb","Deals damage with no additional effect.","Normal","Physical",100,0.75,10,0,0.00%,0
486,"Electro Ball","Elecball inflicts more damage the faster the user is compared to the target. Therefore, the higher user's Speed stat is than the target's, the greater the damage. Base power is calculated as follows: 150 base power, if target´s speed is lower or equal to 1/4 (25%) of user´s speed. 120 base power, if target´s speed is greater than 1/4 (25%) of user´s speed and lower or equal to 1/3 (33%) of user´s speed. 80 base power, if target´s speed is greater than 1/3 (33%) of user´s speed and lower or equal to 1/2 (50%) of user´s speed. 60 base power, if target´s speed is greater than 1/2 (50%) of user´s speed.","Electric","Special","Var",1,10,0,0.00%,0
527,"Electroweb","Lowers the target's Speed by one level.","Electric","Special",55,0.95,15,0,100.00%,0
373,"Embargo","Prevents the target from using its held item for five turns. During in-game battles, trainers also cannot use any items from their bag on a Pokemon under the effects of Embargo.","Dark","Status",0,1,15,0,0.00%,0
52,"Ember","Has a 10% chance to burn the target.","Fire","Special",40,1,25,0,10.00%,0
227,"Encore","The target is forced to use its last attack for the next 3 turns. The effects of this move will end immediately if the target runs out of PP for the repeated attack. In double battles, a Pokemon who has received an Encore will target a random opponent with single-target attacks.","Normal","Status",0,1,5,0,0.00%,0
283,"Endeavor","Inflicts damage equal to the target's current HP Varthe user's current HP.","Normal","Physical","Var",1,5,0,0.00%,0
203,"Endure","Almost always goes first. The user is left with at least 1 HP following any attacks for one turn, but the move's success rate halves with each consecutive use of Protect, Detect or Endure.","Normal","Status",0,"— ",10,3,0.00%,0
412,"Energy Ball","Has a 10% chance to lower the target's Special Defense by 1 stage.","Grass","Special",80,1,10,0,10.00%,0
494,"Entrainment","Copies the user's ability onto the target.","Normal","Status","–",1,15,0,0.00%,0
284,"Eruption","Base power decreases as the user's HP decreases.","Fire","Special","Var",1,5,0,0.00%,3
153,"Explosion","Causes the user to faint.","Normal","Physical",250,1,5,0,0.00%,4
326,"Extrasensory","Has a 10% chance to make the target flinch.","Psychic","Special",80,1,30,0,10.00%,0
245,"ExtremeSpeed","Usually goes first.","Normal","Physical",80,1,5,1,0.00%,0
263,"Facade","Power doubles if the user is inflicted with burn, paralysis or poison.","Normal","Physical","Var",1,20,0,0.00%,0
185,"Faint Attack","Ignores Evasion and Accuracy modifiers and never misses except against Protect, Detect or a target in the middle of Dig, Fly, Dive or Bounce.","Dark","Physical",60,1.01,20,0,0.00%,0
252,"Fake Out","If this is the user's first move after being sent or switched into battle, the target flinches; this move fails otherwise and against targets with Inner Focus.","Normal","Physical",40,1,10,1,100.00%,0
313,"Fake Tears","Lowers the target's Special Defense by 2 stages.","Dark","Status",0,1,20,0,0.00%,0
206,"False Swipe","Leaves the target with at least 1 HP.","Normal","Physical",40,1,40,0,0.00%,0
297,"FeatherDance","Lowers the target's Attack by 2 stages.","Flying","Status",0,1,15,0,0.00%,0
364,"Feint","Is not blocked by Protect or Detect, but is blocked by Fast Guard.","Normal","Physical",50,1,10,2,0.00%,0
552,"Fiery Dance","Has a 50% chance to raise the user's Special Attack by one level.","Fire","Special",80,1,10,0,50.00%,0
515,"Final Gambit","Inflicts damage equal to the user's remaining HP. User faints.","Fighting","Special","Var",1,5,0,0.00%,0
126,"Fire Blast","Has a 10% chance to burn the target.","Fire","Special",120,0.85,5,0,10.00%,0
424,"Fire Fang","Has a 10% chance to burn the target. Has a 10% chance to make the target flinch. Both effects can occur from a single use.","Fire","Physical",65,0.95,15,0,10.00%,0
519,"Fire Pledge","If it is followed on the same turn by Grass Oath, it will cause all foes to take damage at the end of every turn for four turns. If it follows Water Oath on the same turn, it will double the probability of secondary effects taking place for four turns. This effect does not stack with Serene Grace.","Fire","Special",50,1,10,0,0.00%,0
7,"Fire Punch","Has a 10% chance to burn the target.","Fire","Physical",75,1,15,0,10.00%,0
83,"Fire Spin","Traps the target for 5-6 turns, causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or it uses U-Turn.","Fire","Special",35,0.85,15,0,0.00%,0
90,"Fissure","The target faints; doesn't work on higher-leveled Pokemon.","Ground","Physical","OHKO",0.3,5,0,0.00%,0
175,"Flail","Base power increases as the user's HP decreases.","Normal","Physical","Var",1,15,0,0.00%,0
481,"Flame Burst","The Pokémon near the target will lose 1/16 of their maximum HP.","Fire","Special",70,1,15,0,0.00%,0
488,"Flame Charge","Inflicts regular damage. Raises the user's Speed by one stage.","Fire","Physical",50,1,20,0,100.00%,0
172,"Flame Wheel","Has a 10% chance to burn the target; can be used while frozen, which both attacks the target normally and thaws the user.","Fire","Physical",60,1,25,0,10.00%,0
53,"Flamethrower","Has a 10% chance to burn the target.","Fire","Special",95,1,15,0,10.00%,0
394,"Flare Blitz","The user receives 1/3 recoil damage; has a 10% chance to burn the target.","Fire","Physical",120,1,15,0,10.00%,0
148,"Flash","Lowers the target's Accuracy by 1 stage.","Normal","Status",0,1,20,0,0.00%,0
430,"Flash Cannon","Has a 10% chance to lower the target's Special Defense by 1 stage.","Steel","Special",80,1,10,0,10.00%,0
260,"Flatter","Confuses the target and raises its Special Attack by 1 stage.","Dark","Status",0,1,15,0,0.00%,0
374,"Fling","The user's held item is thrown at the target. Base power and additional effects vary depending on the thrown item. Note that the target will instantly benefit from the effects of thrown berries. The held item is gone for the rest of the battle unless Recycle is used; the item will return to the original holder after wireless battles but will be permanently lost if it is thrown during in-game battles.","Dark","Physical","Var",1,10,0,0.00%,0
19,"Fly","On the first turn, the user flies into the air, becoming uncontrollable, and evades most attacks. Gust, Twister, Thunder and Sky Uppercut have normal accuracy against a mid-air Pokemon, with Gust and Twister also gaining doubled power. The user may also be hit in mid-air if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn, the user attacks.","Flying","Physical",90,0.95,15,0,0.00%,0
411,"Focus Blast","Has a 10% chance to lower the target's Special Defense by 1 stage.","Fighting","Special",120,0.7,5,0,10.00%,0
116,"Focus Energy","Raises the user's chance for a Critical Hit by two domains.","Normal","Status",0,"— ",30,0,0.00%,0
264,"Focus Punch","At the beginning of the round, the user tightens its focus; the attack itself usually goes last and will fail if the user is attacked by any other Pokemon during the turn.","Fighting","Physical",150,1,20,-3,0.00%,0
266,"Follow Me","Almost always goes first. For the rest of the turn, all attacks from the opponent's team that target the user's team are redirected toward the user. In double battles, the user's teammate will not be protected from attacks that have more than one intended target.","Normal","Status",0,1,20,3,0.00%,0
395,"Force Palm","Has a 30% chance to paralyze the target.","Fighting","Physical",60,1,10,0,30.00%,0
193,"Foresight","Until the target faints or switches, the user's Accuracy modifiers and the target's Evasion modifiers are ignored. Ghost-type targets also lose their immunities against Normal-type and Fighting-type moves.","Normal","Status",0,1,40,0,0.00%,0
492,"Foul Play","It uses the target's Attack stat to calculate damage.","Dark","Physical",95,1,15,0,0.00%,0
553,"Freeze Shock","Charges for a turn before attacking. Has a 30% chance to paralyze the target.","Ice","Physical",140,0.9,5,0,30.00%,0
338,"Frenzy Plant","The user recharges during its next turn; as a result, until the end of the next turn, the user becomes uncontrollable.","Grass","Special",150,0.9,5,0,0.00%,0
524,"Frost Breath","Always results in a critical hit.","Ice","Special",40,0.9,10,0,0.00%,0
218,"Frustration","Power increases as user's happiness decreases; maximum 102 BP.","Normal","Physical","Var",1,20,0,0.00%,0
